http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0001.html,"SECY-81-513, ""Plan for Early Resolution of Safety Issues,"" U.S. Nuclear Regulatory Commission, August 25, 1981. [8109140067]"
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0002.html,"NUREG-0371, ""Task Action Plans for Generic Activities (Category A),"" U.S. Nuclear Regulatory Commission, November 1978."
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0003.html,"NUREG-0471, ""Generic Task Problem Descriptions (Categories B, C, and D),"" U.S. Nuclear Regulatory Commission, June 1978."
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0004.html,"NUREG-0572, ""Review of Licensee Event Reports (19761978),"" U.S. Nuclear Regulatory Commission, September 1979."
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0005.html,"IE Circular 77-07, ""Short Period During Reactor Startup,"" U.S. Nuclear Regulatory Commission, April 15, 1977. [9104240445]"
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0006.html,"IE Bulletin 79-12, ""Short Period Scrams at BWR Facilities,"" U.S. Nuclear Regulatory Commission, May 31, 1979. [7906060168]"
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0007.html,"Memorandum for D. Ross from H. Richings, ""RDA Statistical Analysis,"" June 17, 1975. [8105050833]"
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0008.html,"SECY-80-325, ""Special Report to Congress Identifying New Unresolved Safety Issues,"" U.S. Nuclear Regulatory Commission, July 9, 1980. [8103180932]"
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0009.html,"Federal RegisterNotice 54 FR 16030, ""Draft Regulatory Guide; Withdrawal,"" April 20, 1989."
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0010.html,"NUREG/CR-3992, ""Collection and Evaluation of Complete and Partial Losses of Off-Site Power at Nuclear Power Plants,"" U.S. Nuclear Regulatory Commission, February 1985."
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0011.html,"NUREG-0800, ""Standard Review Plan for the Review of Safety Analysis Reports for Nuclear Power Plants,""U.S. Nuclear Regulatory Commission, (1st Ed.) November 1975, (2nd Ed.) March 1980, (3rd Ed.) July 1981."
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0012.html,"Draft Regulatory Guide and Value/Impact Statement, Task SC 708-4, ""Qualification and Acceptance Tests for Snubbers Used in Systems Important to Safety,""U.S. Nuclear Regulatory Commission, February 1981. [9503290322]"
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0013.html,"NUREG-0691, ""Investigation and Evaluation of Cracking Incidents in Piping in Pressurized Water Reactors,"" U.S. Nuclear Regulatory Commission, September 1980."
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0014.html,"ASME Boiler and Pressure Vessel Code, Section XI, ""Rules for Inservice Inspection of Nuclear PowerPlant Components,"" American Society of Mechanical Engineers, 1974."
http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0933/reference/0015.html,"Nuclear Safety, Vol. 14, No. 3, ""Probability of Damage to Nuclear Components Due to Turbine Failure,"" S. H. Busch, 1973."
